Name;Path;URL;Kolonne1;Kolonne3
Sosiale tjenester og økonomisk sosialhjelp;/www.nav.no/no/person/flere-tema/sosiale-tjenester;https://www-x4.nav.no/sok?f=1&uf=8&daterange=-1&ord=&c=1&s=0;;
Sykdom i familien;/www.nav.no/no/person/familie/sykdom-i-familien;https://www-x4.nav.no/sok?f=1&uf=3&daterange=-1&ord=&c=1&s=0;;
Sykefravær - statistikk;/www.nav.no/no/nav-og-samfunn/statistikk/sykefravar-statistikk;https://www-x4.nav.no/sok?f=1&uf=2&daterange=-1&ord=&c=1&s=0;;
Sykmelding og sykepenger;/www.nav.no/no/person/arbeid/sykmeldt-arbeidsavklaringspenger-og-yrkesskade;https://www-x4.nav.no/sok?f=1&uf=0&daterange=-1&ord=&c=1&s=0;;
Sykmeldt arbeidstaker;/www.nav.no/no/bedrift/oppfolging/sykmeldt-arbeidstaker;https://www-x4.nav.no/sok?f=1&uf=1&daterange=-1&ord=&c=1&s=0;;
Søk jobb i NAV;/www.nav.no/no/nav-og-samfunn/om-nav/sok-jobb-i-nav;https://www-x4.nav.no/sok?f=1&uf=6&daterange=-1&ord=&c=1&s=0;;
Teknisk brukerstøtte;/www.nav.no/no/nav-og-samfunn/kontakt-nav/teknisk-brukerstotte;https://www-x4.nav.no/sok?f=1&uf=6&daterange=-1&ord=&c=1&s=0;;
Telemark;/www.nav.no/no/lokalt/telemark;https://www-x4.nav.no/sok?f=4&uf=14&daterange=-1&ord=&c=1&s=0;;
Tilrettelegging for ansatte;/www.nav.no/no/bedrift/hjelpemidler/tilrettelegging-for-ansatte;;;
Tilskudd gjennom NAV;/www.nav.no/no/nav-og-samfunn/samarbeid/tilskudd-gjennom-nav;https://www-x4.nav.no/sok?f=1&uf=6&daterange=-1&ord=&c=1&s=0;;
Tjenester og produkter;/www.nav.no/no/person/hjelpemidler/tjenester-og-produkter;https://www-x4.nav.no/sok?f=1&uf=4&daterange=-1&ord=&c=1&s=0;;
Troms;/www.nav.no/no/lokalt/troms;https://www-x4.nav.no/sok?f=4&uf=15&daterange=-1&ord=&c=1&s=0;;
Troms og Finnmark;/www.nav.no/no/lokalt/troms-og-finnmark;https://www-x4.nav.no/sok?f=4&uf=16&daterange=-1&ord=&c=1&s=0;;
Trøndelag;/www.nav.no/no/lokalt/trondelag;https://www-x4.nav.no/sok?f=4&uf=17&daterange=-1&ord=&c=1&s=0;;
Utbetalinger;/www.nav.no/no/nav-og-samfunn/kontakt-nav/utbetalinger;https://www-x4.nav.no/sok?f=1&uf=6&daterange=-1&ord=&c=1&s=0;;
Utviklingsprosjekter i NAV;/www.nav.no/no/nav-og-samfunn/kunnskap/utviklingsprosjekter-i-nav;https://www-x4.nav.no/sok?f=1&uf=6&daterange=-1&ord=&c=1&s=0;;
Vedlikehold og reparasjon;/www.nav.no/no/person/hjelpemidler/vedlikehold-og-reparasjon;;;
Vest-Agder;/www.nav.no/no/lokalt/vest-agder;https://www-x4.nav.no/sok?f=4&uf=18&daterange=-1&ord=&c=1&s=0;;
Vestfold;/www.nav.no/no/lokalt/vestfold;https://www-x4.nav.no/sok?f=4&uf=19&daterange=-1&ord=&c=1&s=0;;
Vestfold og Telemark;/www.nav.no/no/lokalt/vestfold-og-telemark;https://www-x4.nav.no/sok?f=4&uf=20&daterange=-1&ord=&c=1&s=0;;
Vestland;/www.nav.no/no/lokalt/vestland;https://www-x4.nav.no/sok?f=4&uf=21&daterange=-1&ord=&c=1&s=0;;
Vest-Viken;/www.nav.no/no/lokalt/vest-viken;https://www-x4.nav.no/sok?f=4&uf=22&daterange=-1&ord=&c=1&s=0;;
Ytelser ved dødsfall;/www.nav.no/no/person/familie/ytelser-ved-dodsfall;;;
Østfold;/www.nav.no/no/lokalt/ostfold;https://www-x4.nav.no/sok?f=4&uf=23&daterange=-1&ord=&c=1&s=0;;
Øst-Viken;/www.nav.no/no/lokalt/ost-viken;https://www-x4.nav.no/sok?f=4&uf=24&daterange=-1&ord=&c=1&s=0;;
